,"country_alpha2","country_alpha3","country_official_name","country_url","flemish","stand_institute","group","qh","MarineInfo_ID","ROR_ID","local_ID"
13,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Maimonides University - Center for Biomedical, Basic, Applied and Development Studies (CEBBAD) - Laboratory of Marine Invertebrates","Research Institute","Science","-","-","71ae18c2-2ec8-453a-93aa-956ed6295e91"
14,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of Cordoba","University","Science","https://marineinfo.org/imis?module=institute&insid=9930","https://ror.org/056tb7j80","bd7006d3-7d53-414f-8e71-60a0a4eafa69"
15,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of Cordoba - Faculty of Exact, Physical and Natural Sciences","University","Science","-","-","4fcbb402-b0b5-4fa6-98e7-d8b549a6b775"
16,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of Cordoba - Faculty of Exact, Physical and Natural Sciences - Marine Ecology","University","Science","-","-","a9a6bcbd-c95e-41f7-ab38-b20617c1d35e"
17,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of La Plata","University","Science","https://marineinfo.org/imis?module=institute&insid=14722","https://ror.org/01tjs6929","2d715398-1476-4a1a-996e-05a6255f4e88"
18,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of La Plata - Faculty of Natural Sciences and Museum","University","Science","https://marineinfo.org/imis?module=institute&insid=14723","-","d9cc2b12-d86a-4a73-a045-81448ce49c78"
19,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of La Plata - Faculty of Natural Sciences and Museum -  division of phycology","University","Science","-","-","03842b7b-b547-4c37-89ba-a73f47ad65e2"
20,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of Mar del Plata","University","Science","https://marineinfo.org/imis?module=institute&insid=11193","https://ror.org/055eqsb67","871aae31-3a41-4790-933a-cd862c8f4a09"
21,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"National University of Mar del Plata - Marine and Coastal research institute (IIMyC) - Lab Bioindicadores Benton","Research Institute","Science","-","-","bddaa672-b271-467c-8dcd-e974802f98b4"
22,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires","University","Science","https://marineinfo.org/imis?module=institute&insid=11964","https://ror.org/0081fs513","6e6a7e4c-9cf4-4743-abf0-e759d3d9fbe8"
23,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires - Faculty of Exact and Natural Sciences - Department of Biodiversity and Experimental Biology","University","Science","https://marineinfo.org/imis?module=institute&insid=14484","-","4b87e574-5c3d-4272-b323-549c3325d386"
24,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires - Faculty of Exact and Natural Sciences - Department of Biodiversity and Experimental Biology - Lab Malacol","Research Institute","Science","-","-","83f47124-d8cb-40ed-be51-c37911f67c28"
25,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires - Faculty of Exact and Natural Sciences - Department of Ecology, Genetics and Evolution","University","Science","https://marineinfo.org/imis?module=institute&insid=12672","-","3e5dcffb-a193-43e9-95a2-96ce8322d4d6"
26,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires - Faculty of Exact and Natural Sciences - Department of Geology - Research Institute Don Pablo Groeber","Research Institute","Science","-","-","6836b63f-6e1b-4407-9e7d-39874aacbbc5"
27,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"University of Buenos Aires - Faculty of Exact and Natural Sciences - UBA-CONICET Institute - Microanalysis and Physical Methods Unit in Organic Chemistry (UMYMFOR)","Research Institute","Science","-","-","f0ce7197-a00b-4d6d-9aeb-0a7bdb5606b4"
28,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Instituto de Bot�nica Darwinion","Research Institute","Science","-","https://ror.org/0594de127","550fdeea-02bd-4b13-bc87-0375564fa533"
29,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"ABRS (Australian Biological Resources Study)","Research Institute","Science","-","https://ror.org/00289aa83","f25da999-ff01-49ac-a4d8-a25e0fa1017e"
30,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"AIMS (Australian Institute of Marine Science)","Research institute","Science","-","https://ror.org/03x57gn41","da2274a4-0a39-4f8b-8757-93a947c10c98"
31,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"AMRI (Australian Museum Research Institute)","Research Institute","Science","-","-","786d6120-7c78-402f-b164-ff864a76c540"
32,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Antarctic Climate & Ecosystems cooperative research centre (ACE CRC)","Research institute","Science","-","https://ror.org/03mxhzf09","ecf9b03c-c8ac-49fe-bb27-76f6748361d5"
33,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Auckland War Memorial Museum","Museum","Science","-","https://ror.org/010na6b76","5ef80ef0-e5b1-47e4-bc43-f7b95d313bfb"
34,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Bureau of Meteorology","Governmental body","Policy","-","https://ror.org/04dkp1p98","bb80d36e-0fd3-4171-81f3-4578ed9192e8"
35,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Department of the Environment and Energy","Governmental body","Policy","-","-","104e7c21-b680-4edf-9bbf-af0570fec1d2"
36,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD)","Research Institute","Science","-","https://ror.org/05e89k615","cad35cfa-af7e-42be-b393-fba86d1a20e1"
37,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Department of Biodiversity, Conservation and Attractions","Governmental body","Policy","-","https://ror.org/04abk6t05","321aeeb9-269a-4df9-8ffb-8bdd45822f82"
38,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Department of Agriculture and Food","Governmental body","Policy","-","-","a386ba0f-e3e2-488e-a40e-2d306f127a23"
39,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Department of Agriculture, Fisheries and Forestry","Governmental body","Policy","-","https://ror.org/00jks2h96","4872121b-44d0-45c2-982d-8a3c06cc0ada"
40,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Government - Geoscience Australia","Governmental body","Policy","-","https://ror.org/04ge02x20","5dc84df6-c965-48c1-a1ae-7ba7fd664fae"
41,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian Museum","Museum","Science","-","https://ror.org/02zv4ka60","10e41f21-22ae-47bc-942c-f5dca87ff469"
42,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian National University","University","Science","-","https://ror.org/019wvm592","6c512fd9-debc-456a-980b-dd34364428f2"
43,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Australian National University - Archaeology and Natural History","University","Science","-","-","cb2bc63a-d7a0-4e1f-ae06-ec0d4a42e3cc"
44,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Charles Darwin University","University","Science","-","https://ror.org/048zcaj52","7502357d-dd09-4843-8b5e-07d84dcdd68a"
45,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Charles Sturt University","University","Science","https://marineinfo.org/imis?module=institute&insid=9435","https://ror.org/00wfvh315","6797a353-21cb-49c9-9e8d-e94a99a6b55e"
46,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"CSIRO - Marine and Atmospheric Research (CMAR)","Research Institute","Science","https://marineinfo.org/imis?module=institute&insid=3101","-","30a33b8d-4f89-46dd-99ee-80f2159f1535"
47,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"CSIRO - Oceans & Atmosphere","Research Institute","Science","-","https://ror.org/026nh4520","4b9d37bc-1ba1-4cc5-9312-8b629059b4df"
48,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"CSIRO - Oceans & Atmosphere - Indian Ocean Marine Research Centre (IOMRC)","Research Institute","Science","https://marineinfo.org/imis?module=institute&insid=15203","-","8a0abbb2-f0d4-4cfb-bfaa-574e0dcdbf7f"
49,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"CSIRO (Commonwealth Scientific and Industrial Research Organisation)","Governmental body","Policy","https://marineinfo.org/imis?module=institute&insid=3980","https://ror.org/03qn8fb07","1a81d0de-6d27-427d-b76d-884c8e57369c"
50,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Curtin University","University","Science","-","https://ror.org/02n415q13","4c675a1a-144a-442d-a821-f4cdae978dcf"
51,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Curtin University - School of Molecular and Life Sciences - Department of Environment and Agriculture - TrEnD Lab (Trace & Environmental DNA)","Research Institute","Science","-","-","6cdf6ee4-b2b9-4aa3-9806-a3787f6b7dc7"
52,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Deakin University","University","Science","https://marineinfo.org/imis?module=institute&insid=9219","https://ror.org/02czsnj07","83954444-0d5e-47bc-8fde-d61a4d1af746"
53,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Flinders University","University","Science","https://marineinfo.org/imis?module=institute&insid=9923","https://ror.org/01kpzv902","377e80cc-cc70-4f62-8707-5b1802e40161"
54,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Flinders University - Centre for Marine Bioproducts Development","Research institute","Science","-","-","dfa9fd89-1f27-4315-b591-4e3938a85569"
55,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Government of New South Wales - Office of Environment and Heritage","Governmental body","Policy","-","-","37d140ec-35a4-43ae-bc61-7a4c7eaa0e65"
56,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Griffith University","University","Science","https://marineinfo.org/imis?module=institute&insid=8906","https://ror.org/02sc3r913","56ae0225-b377-47d8-be39-b8f3e88b5d8c"
57,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Griffith University - Environmental Futures Research Institute (EFRI)","Research institute","Science","-","-","a01e5402-33ff-4e44-b9ec-4c5238fb9002"
58,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Griffith University - Griffith Institute for Drug Discovery","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=14531","-","1b950a28-642d-431a-8c83-3b51be34dc8e"
59,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University","University","Science","https://marineinfo.org/imis?module=institute&insid=12358","https://ror.org/04gsp2c11","2ebbc033-80db-49a3-ae01-18994ac99923"
60,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University - ARC Centre of Excellence for Coral Reef Studies","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=14935","https://ror.org/028cdc266","ed280e3e-871e-47ab-86af-0c031f27bac5"
61,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University - Centre for Sustainable Tropical Fisheries and Aquaculture (CSTFA)","Research institute","Science","-","-","51615f69-8c93-4df3-8156-ebab2a762780"
62,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University - College of Arts, Society and Education","University","Science","-","-","31bc30c7-54fa-4c60-8fb1-03f403bea4a0"
63,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University - College of Science and Engineering","University","Science","-","-","1eae3a67-f448-41cb-824f-ef9fd0e1f16d"
64,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"James Cook University - College of Science and Engineering - Marine Biology & Aquaculture","University","Science","-","-","d68eb239-5f2b-4338-b9f3-8dd3e9a05728"
65,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"La Trobe University","University","Science","https://marineinfo.org/imis?module=institute&insid=5008","https://ror.org/01rxfrp27","08a5dc84-9fb4-4f53-b152-483158c45110"
66,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Macquarie University","University","Science","https://marineinfo.org/imis?module=institute&insid=11839","https://ror.org/01sf06y89","17df1f8d-f77a-4477-b15d-f5b029ea286e"
67,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Macquarie University - Department of Biological Sciences","University","Science","https://marineinfo.org/imis?module=institute&insid=11841","-","f9d641bf-43a2-457b-ac16-a9165476c6b1"
68,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"MAGNT (Museum and Art Gallery of the Northern Territory)","Museum","Science","https://marineinfo.org/imis?module=institute&insid=9425","-","baa5c075-ec0e-422f-8f7e-e54420c605cc"
69,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Maurice Wilkins Centre for Molecular Biodiscovery","Research institute","Science","-","https://ror.org/0327mmx61","dbf5b908-37a3-4851-b68f-a44f4961d7c9"
70,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Monash University","University","Science","https://marineinfo.org/imis?module=institute&insid=13695","https://ror.org/02bfwt286","02fe3d0f-805c-4cb5-bf26-b6af0f1ed7be"
71,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Monash University - School of Biological Sciences","Research institute","Science","-","-","6f4d7274-f5e6-49de-a1bf-4d6edc6af395"
72,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Murdoch University","University","Science","https://marineinfo.org/imis?module=institute&insid=8579","https://ror.org/00r4sry34","8bec04b9-4391-4fac-bb8b-e6fac321bcaa"
73,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Murdoch University - Harry Butler Institute","Research institute","Science","-","-","5f3533b9-98cc-4151-8032-ed1bb63cc95f"
74,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Murdoch University - School of Biological Science and Biotechnology - Centre for Fish and Fisheries Research","Research institute","Science","-","-","333a5561-74e8-4442-89a2-d0467575bc60"
75,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Museum of Tropical Queensland","Museum","Science","https://marineinfo.org/imis?module=institute&insid=8689","-","adce8775-de1e-4aa8-86cf-4314377ea165"
76,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Museums Victoria","Museum","Science","https://marineinfo.org/imis?module=institute&insid=5005","https://ror.org/04mf3mq37","19e495b8-641b-4b45-98f1-4cab136d0755"
77,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Nautilus Minerals Pacific Ltd","Company","Industry","-","-","ab1c91ce-3c86-476f-ac8f-569918a7be33"
78,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Northern Territory Government","Governmental body","Policy","https://marineinfo.org/imis?module=institute&insid=5411","https://ror.org/01537wn74","283e30a3-3d50-402e-8df1-1f42a1d4fc60"
79,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Northern Territory Government - Department of Primary Industry and Resources - National Marine Science Centre - Fisheries Conservation Technology Unit","Governmental body","Policy","-","-","821515c0-4d24-4f29-ae39-1857eee0a251"
80,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Queensland Museum","Museum","Science","https://marineinfo.org/imis?module=institute&insid=7309","https://ror.org/035zntx80","75f451fe-da4a-4b2f-8387-b72e312044b5"
81,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Queensland Museum - Biodiversity & Geosciences collections","Museum","Science","-","-","641a68e6-db87-4f87-8bfe-3b2c9e7ef7df"
82,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Queensland Museum - Natural Environment Program","Museum","Science","-","-","eb95ace7-dc29-4f15-9f8d-e7de134bd4db"
83,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"RMIT University","University","Science","-","https://ror.org/04ttjf776","6ea8ab7e-51aa-443d-840e-c05a78485692"
84,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"SARDI (South Australian Research & Development Institute) - Aquatic Sciences Research Division","Research institute","Science","-","-","00bc0d75-11f2-44eb-b939-87b7e108742c"
85,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"SIMS (Sydney Institute of Marine Science)","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=14490","https://ror.org/03ry2ah66","5c72cb58-8175-4fc1-8968-7466a567a212"
86,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"South Australian Museum","Museum","Science","https://marineinfo.org/imis?module=institute&insid=8717","https://ror.org/02zv7ne49","ee509c7c-d0a8-4814-921a-0d5ebd8fcdf2"
87,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Southern Cross University","University","Science","https://marineinfo.org/imis?module=institute&insid=12338","https://ror.org/001xkv632","e52c8704-8b42-4dbc-8cb4-27cec0334999"
88,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Southern Cross University - National Marine Science Centre (NMSC)","Research institute","Science","-","-","ae334617-6334-469c-adef-305182a6ec96"
89,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Southern Cross University - School of Environment, Science and Engineering - Marine Ecology Research Centre (MERC)","Research institute","Science","-","-","c8e250f5-f277-455f-bce1-ef4467cd8842"
90,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"Tasmanian Museum and Art Gallery (TMAG)","Museum","Science","https://marineinfo.org/imis?module=institute&insid=11911","-","a9d17716-0951-48cb-8044-f8285c34829e"
91,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Adelaide","University","Science","https://marineinfo.org/imis?module=institute&insid=12948","https://ror.org/00892tw58","22afca6a-a278-4830-bef0-1d0c80eb6724"
92,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of New South Wales","University","Science","https://marineinfo.org/imis?module=institute&insid=1768","https://ror.org/03r8z3t63","c451e5ca-c082-4d43-a023-5bf94f5613df"
93,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of New South Wales - School of Biological Earth and Environment Sciences (BEES) - Evolution & Ecology Research Centre (E&ERC)","Research institute","Science","-","-","1162a4ad-9395-459a-84cb-caf9224a3d43"
94,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland","University","Science","https://marineinfo.org/imis?module=institute&insid=8800","https://ror.org/00rqy9422","8ec4c2eb-8549-440b-b917-e06c86ed8d81"
95,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland - Institute for Molecular Bioscience (IMB)","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=14063","-","6e1eaa09-cb83-4140-8ff1-bd2f4da6f824"
96,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland - School of Biological Sciences","University","Science","https://marineinfo.org/imis?module=institute&insid=14129","-","ee7da4d7-816a-493e-8928-96bddd6ad960"
97,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland - School of Biological Sciences - ARC Centre of Excellence for Environmental Decisions (CEED)","Research institute","Science","-","https://ror.org/01k8nkc73","108facd6-edd4-4501-973c-282274f0e8b8"
98,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland - School of Biological Sciences - Centre for Marine Science","Research Institute","Science","https://marineinfo.org/imis?module=institute&insid=8802","-","2121559c-e419-457a-acca-531b9b5f64f2"
99,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Queensland - School of Earth and Environment Sciences","University","Science","https://marineinfo.org/imis?module=institute&insid=14939","-","980d4f40-1ecf-4994-8667-1b1dcb18470b"
100,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Sydney","University","Science","https://marineinfo.org/imis?module=institute&insid=8809","https://ror.org/0384j8v12","62e17462-4213-469d-8f77-37dc0f43826d"
101,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Sydney - Faculty of Arts and Social Sciences - Department of Archaeology","University","Science","-","-","c7621400-8b45-4c61-b193-0dd559a55075"
102,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Sydney - Faculty of Science - Molecular Ecology, Evolution, and Phylogenetics lab","Research institute","Science","-","-","6a9e2592-f37f-4b5f-8fc6-2a1775cd51ca"
103,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Sydney - Faculty of Science - School of Geosciences","University","Science","-","-","ab13557a-3b73-4e24-bf2e-baa81b9e91f0"
104,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Tasmania","University","Science","https://marineinfo.org/imis?module=institute&insid=9658","https://ror.org/01nfmeh72","d27a3fff-1e7f-4efe-95ea-ace068b1ac35"
105,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Tasmania - Institute for Marine and Antarctic Studies (IMAS)","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=12893","-","e7cf02de-18b7-44a3-9837-b12527321fe7"
106,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Tasmania - National centre of Marine Conservation and Resource Sustainability (NCMCRS)","Research institute","Science","-","-","4942e8c0-e98b-40f4-a3cd-cc80443753bd"
107,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of the Sunshine Coast","University","Science","-","https://ror.org/016gb9e15","309257aa-0ce9-49dd-a901-45a677f9eaaa"
108,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of the Sunshine Coast - Australian Centre for Pacific Islands Research (ACPIR)","Research institute","Science","-","-","147f8d67-54eb-4153-a400-bc13d0eb72e0"
109,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Western Australia","University","Science","https://marineinfo.org/imis?module=institute&insid=7387","https://ror.org/047272k79","6a963376-e893-4f25-b0d2-aab6d37f8db4"
110,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Western Australia (UWA) - Centre of Evolutionary Biology","Research institute","Science","-","-","fdde30b7-c7af-40bc-97b8-7e9377c54346"
111,"AU","AUS","Australia","https://www.iso.org/obp/ui/#iso:code:3166:AU",,"University of Western Australia (UWA) - Oceans Institute","Research institute","Science","https://marineinfo.org/imis?module=institute&insid=15125","-","8cc0b064-ec20-4fc4-b16e-bf1972672a7a"
