"Institute","Institute_standardized"
"Australian Inst Marine Sci, Townsville Mc, Qld 4810, Australia.","AIMS (Australian Institute of Marine Science)"
"Airborne Petroleum Geophysics","Airborne Petroleum Geophysics"
"Aix Marseille Univ","Aix-Marseille University"
"Aix Marseille Univ, CNRS IRD UAPV UMR 7263, Inst Mediterraneen Biodiversite & Ecol Marine & C, Stn Marine Endoume,IMBE, Rue Batterie Lions, F-13007 Marseille, France.","Aix-Marseille University"
"Aix Marseille Univ, CNRS, IRD, Coll France,INRAE,CEREGE, F-13545 Aix En Provence 4, France.","Aix-Marseille University"
"Aix Marseille Univ, CNRS, Minist Culture & Commun, LAMPEA UMR 7269, 5 Rue Chateau Horloge, F-13094 Aix En Provence, France;","Aix-Marseille University"
"Aix Marseille Univ, Coll France, CEREGE, INRA,IRD,CNRS, Aix En Provence, France.","Aix-Marseille University"
"Aix Marseille Univ, Univ Toulon, MIO, CNRS,IRD, Marseille, France.","Aix-Marseille University"
"Univ Aix Marseille","Aix-Marseille University"
"Univ Aix Marseille Univ","Aix-Marseille University"
"Univ Aix Marseille Univ, Inst Pytheas, IMBE, Univ Avignon,CNRS,IRD,Stn Marine Endoume, Rue Batterie Lions, F-13007 Marseille, France;","Aix-Marseille University"
"Université d'Aix-Marseille","Aix-Marseille University"
"Pomeranian Univ Slupsk","Akademia Pomorska W Slupsku"
"Pomeranian Univ Slupsk, Inst Biol & Environm Protect, Ul Arciszewskiego 22b, PL-76200 Slupsk, Poland","Akademia Pomorska W Slupsku - Institute of Biology & Environmental Protection"
"Akvaplan Niva","Akvaplan Niva"
"Akvaplan-niva","Akvaplan Niva"
"Akvaplan Niva, Fram Ctr, N-9296 Tromso, Norway;","Akvaplan Niva - FRAM Centre (High North Research Centre for Climate and the Environment)"
"Akvaplan Niva, FRAM High N Res Ctr Climate & Environm Fram Ctr, N-9296 Tromso, Norway;","Akvaplan Niva - FRAM Centre (High North Research Centre for Climate and the Environment)"
"Al Azhar Univ, Fac Sci, Zool Dept, Assiut, Egypt.","Al Azhar University"
"Albacora Group","Albacora Group"
"Al Balqa Appl Univ","Al-Balqa` Applied University"
"Al Balqa Appl Univ, Al Karak Univ Coll, Dept Med Support, Al Karak, Jordan.","Al-Balqa` Applied University"
"Alexandria Univ, Fac Sci, Dept Zool, Alexandria 21547, Egypt.","Alexandria University"
"Alexandru Loan Cuza Univ Iasi, A Fatu Bot Garden, 7-9 Dumbrava Rosie, Iasi 700487, Romania.","Alexandru Ioan Cuza University"
"Alfred Wegener Inst","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Hemholtz","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Hemholtz, Ctr Polar & Marine Res, D-27515 Bremerhaven, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Polar & Marine Res","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Polar & Marine Res, Res Unit Potsdam, D-14473 Potsdam, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Polar & Marine Res, Sect Integrat Ecophysiol, D-27570 Bremerhaven, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Polar &amp; Marine Res, Dept BenthopelagProc, DE-27568 Bremerhaven, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst Polar &amp; Marine Res, Res Unit Potsdam, D-14473 Potsdam, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Inst, Helmholtz Zentrum Polar & Meeresforsch, Hafenstr 43, D-25992 List Auf Sylt, Germany","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Institute","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Alfred Wegener Institute for Polar and Marine Research (AWI)","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"AWI","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Helmholtz Ctr Polar & Marine Res","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Helmholtz Ctr Polar & Marine Res, Alfred Wegener Inst, Wadden Sea Res Stn, Hafenstr 43, D-25992 List Auf Sylt, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI)"
"Helmholtz Ctr Polar & Marine Res, Alfred Wegener Inst, Biol Anstalt Helgoland, D-27498 Helgoland, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI) - Biological Institute Helgoland (BAH)"
"Biol Anstalt Helgoland AWI, D-20127498 Helgoland, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI) - Biological Institute Helgoland (BAH)"
"Biol Anstalt Helgoland, Alfred Wegener Inst Polar &amp; Marine Res, D-27483 Helgoland, Germany.","Alfred Wegener Institute for Polar and Marine Research (AWI) - Biological Institute Helgoland (BAH)"
"Alfred Wegener Inst, Helmholtz Ctr Polar & Marine Res, Dept Biosci, Bremerhaven, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI) - Department of Bioscience"
"Helmholtz Ctr Polar & Marine Res, Alfred Wegener Inst, Dept Integrat Ecophysiol, D-27570 Bremerhaven, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI) - Department of Integrated Ecophysiology"
"Alfred Wegener Inst, Helmholtz Ctr Polar & Marine Res, Wadden Sea Stn Sylt, Hafenstr 43, D-25992 List Auf Sylt, Germany;","Alfred Wegener Institute for Polar and Marine Research (AWI) - Wadden Sea Station Sylt"
"Alive Fundació","Alive Fund"
"Altai State Univ, Biol Dept, Barnaul, Russia.","Altai State University - Biology department"
"Altenburg & Wymenga Ecol Consultants, Suderwei 2, NL-9269 TZ Veenwouden, Netherlands.","Altenburg & Wymenga ecological research and consultancy"
"Univ Fed Rural Amazonia UFRA, Inst Socioambiental & Recursos Hidr ISARH, Programa Posgrad Aquicultura & Recursos Aquit Tro, Av Presidente Tancredo Neves 2501,CP 917, BR-66077530 Belem, Para, Brazil.","Amazon Rural Federal University (UFRA)"
"AMEC Environment & Infrastructure ","AMEC Environment & Infrastructure "
"American Bird Conservancy","American Bird Conservancy"
"Amer Museum Nat Hist","American Museum of Natural History (AMNH)"
"Amer Museum Nat Hist, Div Invertebrate Zool, Cent Pk West 79th St, New York, NY 10024 USA;","American Museum of Natural History (AMNH)"
"Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA;","American Museum of Natural History (AMNH)"
"Amer Museum Nat Hist, New York, NY 10024 USA.","American Museum of Natural History (AMNH)"
"American Museum of Natural History","American Museum of Natural History (AMNH)"
"Amer Univ Cairo","American University in Cairo"
"Amer Univ Cairo, Dept Biol, New Cairo 11835, Egypt.","American University in Cairo"
"Amer Univ Beirut","American University of Beirut"
"Amer Univ Beirut, Cell Biol & Physiol Sci, Fac Med, Dept Anat, POB 11-0236, Beirut 11072020, Lebanon.","American University of Beirut"
"Amer Univ Beirut, Fac Arts & Sci, Dept Biol, POB 11-0236, Beirut 11072020, Lebanon;","American University of Beirut - Faculty of Arts & Science - Department of Biology"
"Amer Univ Paris, Dept Comp Sci Math & Environm Sci, 6 Rue Colonel Combes, F-75007 Paris, France.","American University of Paris"
"Amgueddfa Cymru Natl Museum Wales, Dept Nat Sci, Cathays Pk, Cardiff CF10 3NP, Wales.","Amgueddfa Cymru – National Museum Wales"
"Australian Museum Research Institute","AMRI (Australian Museum Research Institute)"
"Australian Museum, Res Inst, Sydney, NSW, Australia.","AMRI (Australian Museum Research Institute)"
"Anadarko Colombia Co, Calle 113 7-80 Piso 11, Bogota, DC, Colombia.","Anadarko Colombia Company Sucursal Colombia"
"Andhra Univ, Dept Zool, Visakhapatnam 530003, Andhra Prades, India.","Andhra University"
"Univ Andres Bello, Dept Ecol & Biodiversidad, Fac Ciencias Vida, Ave Republ 440, Santiago, Chile.","Andrés Bello National University"
"OEil Andromede","Andromède Oceanologie"
"OEil Andromede, F-34280 Carnon, France.","Andromède Oceanologie"
"Aniol S.L.","Aniol S.L."
"Ankara Univ","Ankara University"
"Ankara Univ, Pharm Fac, Pharmacognosy Dept, TR-06100 Ankara, Turkey;","Ankara University - Faculty of Pharmacy - Department of Pharmacognosy"
"Annamalai Univ","Annamalai University"
"Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai, Tamil Nadu, India","Annamalai University - Faculty of Marine Science - Centre for Advanced Studies in Marine Biology"
"Annamalai Univ, Fac Marine Sci, Ctr Adv Study Marine Biol, Parangipettai 608502, Tamil Nadu, India","Annamalai University - Faculty of Marine Science - Centre for Advanced Studies in Marine Biology"
"Anses","Anses (French Agency for Food, Environmental and Occupational Health & Safety)"
"French Agcy Food Environm & Occupat Hlth Safety A, Dept Fishery & Aquaculture Prod, Bacteriol & Parasitol Fishery & Aquaculture Prod, Lab Food Safety, Bd Bassin Napoleon, F-62200 Boulogne Sur Mer, France.","Anses (French Agency for Food, Environmental and Occupational Health & Safety)"
"Anses, Lab Secur Aliments Maisons Alfort, F-94706 Maisons Alfort, France;","Anses (French Agency for Food, Environmental and Occupational Health & Safety) - Food Safety Laboratory"
"ANTABIF","Antarctic Biodiversity Information Facility (ANTABIF)"
"Antarctic Biodiversity Information System (AntaBIS)","Antarctic Biodiversity Information System (AntaBIS)"
"Antarctic Climate &amp; Ecosyst Cooperat Res Ctr, CSIRO Marine &amp; Atmospher Res, Hobart, Tas, Australia.","Antarctic Climate & Ecosystems cooperative research centre (ACE CRC)"
"Antwerp Gas Terminal N.V.","Antwerp Gas Terminal N.V."
"Antwerp Maritime Academy","Antwerp Maritime Academy (HZS)"
"Hogere Zeevaartschool Antwerpen","Antwerp Maritime Academy (HZS)"
"Hogere Zeevaartschool Antwerpen, Nautische Faculteit","Antwerp Maritime Academy (HZS)"
"APEC Climate Ctr","APEC Climate Center"
"APEC Climate Ctr, Busan 48058, South Korea.","APEC Climate Center"
"APEC Climate Ctr, Busan 48058, South Korea;","APEC Climate Center"
"APEM Ltd","APEM Ltd"
"Applied Science Associates","Applied Science Associates"
"Aquabiosfera","Aquabiosfera"
"Aquacultuur Oostende ","Aquacultuur Oostende BVBA"
"Aquat Res & Consulting","Aquatic Research & Consulting"
"Aquat Res & Consulting, 24 Hitty Tom Rd, Duxbury, MA 02332 USA","Aquatic Research & Consulting"
"Arcadis","Arcadis"
"Conservation of Arctic Flora and Fauna (CAFF)","Arctic Council - Conservation of Arctic Flora and Fauna (CAFF)"
"Arctic University of Norway","Arctic University of Norway (UiT)"
"UiT Arctic Univ Norway","Arctic University of Norway (UiT)"
"UiT Arctic Univ Norway Tromso","Arctic University of Norway (UiT)"
"UiT Arctic Univ Norway, Dept Geosci, CAGE Ctr Arctic Gas Hydrate Environm & Climate, N-9037 Tromso, Norway;","Arctic University of Norway (UiT) - Department of Geoscience - CAGE (Ctr Arctic Gas Hydrate Environm & Climate)"
"UiT Arctic Univ Norway Tromso, Dept Geosci, Postboks 6050 Langnes, N-9037 Tromso, Norway","Arctic University of Norway (UiT) - Department of Geosciences"
"UiT Arctic Univ Norway, Fac Sci & Technol, Ctr Bioinformat, POB 6050 Langnes, N-9037 Tromso, Norway;","Arctic University of Norway (UiT) - Faculty of Science & Technology - Centre of Bioinformatics"
"Arctos","Arctos"
"Ardenne & Gaume","Ardenne & Gaume"
"Ardenne et Gaume ASBL","Ardenne & Gaume"
"ardenne-et-gaume","Ardenne & Gaume"
"AREEO","AREEO (Agricultural Research Education And Extention Organization)"
"AREEO, IFSRI, Offshore Fisheries Res Ctr, Chabahar, Iran.","AREEO (Agricultural Research Education And Extention Organization)"
"Arion, Via Colombo 34, I-70042 Mola Di Bari, Italy.","Aristotle University of Thessaloniki"
"Aristotle Univ Thessaloniki","Aristotle University of Thessaloniki"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Ecol, Thessaloniki 54124, Greece.","Aristotle University of Thessaloniki"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Zool, GR-54006 Thessaloniki, Greece.","Aristotle University of Thessaloniki"
"University of Thessaloniki, Greece","Aristotle University of Thessaloniki"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Ecol, Thessaloniki 54124, Greece;","Aristotle University of Thessaloniki - School of Biology - Department Ecolgy"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Genet Dev & Mol Biol, Thessaloniki 54124, Greece","Aristotle University of Thessaloniki - School of Biology - Department of Genetics, Development and Molecular Biology"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Zool, Thessaloniki 54124, Greece;","Aristotle University of Thessaloniki - School of Biology - Department of Zoology"
"Aristotle Univ Thessaloniki, Sch Biol, Dept Zool, Thessaloniki, Greece;","Aristotle University of Thessaloniki - School of Biology - Department of Zoology"
"School of Veterinary Medicine","Aristotle University of Thessaloniki - School of Veterinary Medicine"
"Arizona State Univ, Sch Life Sci, Tempe, AZ 85283 USA.","Arizona State University"
"Arizona State University","Arizona State University"
"ARTOO Marine Biol Consultants","ARTOO Marine Biology Consultants"
"ARTOO Marine Biol Consultants, Southampton SO14 5QY, Hants, England;","ARTOO Marine Biology Consultants"
"ARTOO Marine Biology Consultants","ARTOO Marine Biology Consultants"
"Asian Natural Environmental Science Center (ANESC)","Asian Natural Environmental Science Center (ANESC)"
"Auburn Univ, Dept Biol Sci, Auburn, AL 36849 USA.","Auburn University - Department of Biological Sciences"
"Auburn Univ, Sch Fisheries Aquaculture & Aquat Sci, Auburn, AL 36849 USA.","Auburn University - Department of Biological Sciences"
"Auckland Univ Technol, Inst Appl Ecol New Zealand, Sch Appl Sci, Private Bag 92006, Auckland 1142, New Zealand.","Auckland University of Technology - Institute for Applied Ecology New Zealand"
"Auckland War Mem Museum, Auckland, New Zealand.","Auckland War Memorial Museum"
"Australian Government - Bureau of Meteorology","Australian Government - Bureau of Meteorology"
"Australiane Government - Bureau of Meteorology","Australian Government - Bureau of Meteorology"
"Australian Government - Department of the Environment and Energy","Australian Government - Department of the Environment and Energy"
"Department of Agriculture, Water and the Environment, Australian Government","Australian Government - Department of Agriculture, Water and the Environment"
"Australian Antarctic Div, Antarctic Conservat & Management Theme, Kingston, Tas 7050, Australia.","Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD)"
"Australian Antarctic Division","Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD)"
"Australian Antarctic Division (AAD)","Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD)"
"Geoscience Australia","Australian government - Geoscience Australia"
"Australian Inst Marine Sci, Townsville, Qld 4810, Australia.","Australian Institute of Marine Science (AIMS)"
"Australian Inst Marine Sci, UWA Oceans Inst M096, Crawley, WA 6009, Australia.","Australian Institute of Marine Science (AIMS)"
"UWA Oceans Inst, Australian Inst Marine Sci, Crawley, WA 6009, Australia.","Australian Institute of Marine Science (AIMS)"
"Australian Museum","Australian Museum"
"Australian Museum, Australian Museum Res Inst, 1 William St, Sydney, NSW 2010, Australia","Australian Museum"
"Australian National University","Australian National University"
"Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT, Australia.","Australian National University"
"Archaeology and Natural History, The Australian National University","Australian National University - Archaeology and Natural History"
"Department of Education - Xunta de Galici","Autonomous government of galicia - Department of Education - Xunta de Galicia"
"Univ Autonoma Baja Calif Sur","Autonomous University of Baja California Sur"
"Univ Autonoma Baja California Sur","Autonomous University of Baja California Sur"
"Univ Autonoma Baja California Sur, Dept Acad Ciencias Marinas & Costeras, La Paz, Baja Calif Sur, Mexico;","Autonomous University of Baja California Sur - Department of Marine and Coastal Sciences"
"Univ Autonoma Baja California Sur, Dept Biol Marina, La Paz 23080, Baja California, Mexico.","Autonomous University of Baja California Sur - Department of Marine and Coastal Sciences"
"Univ Autonoma Baja Calif Sur, Dept Acad Econ, Lab Sistemas Arrecifales, La Paz 23080, Bcs, Mexico;","Autonomous University of Baja California Sur - Lab Reef Systems"
"Univ Autonoma Baja California Sur, Postgrad Ciencias Marinas & Costeras CIMACO, Carretera Km 5-5, La Paz 23080, Baja California, Mexico;","Autonomous University of Baja California Sur - Postgrad Ciencias Marinas & Costeras CIMACO"
"Universitat autonoma de Barcelona","Autonomous University of Barcelona (UAB)"
"UAM Iztapalapa, Lab Ecosistemas Costeros, Dept Hidrobiol, DCBS, Mexico City 09340, DF, Mexico.","Autonomous University of Madrid (UAM)"
"UAM, CIBC, Calle Darwin 2, E-28049 Madrid, Spain.","Autonomous University of Madrid (UAM)"
"Univ Autonoma Madrid","Autonomous University of Madrid (UAM)"
"Univ Autonoma Madrid, Dept Biol, Edificio Biol,C Darwin 2, E-28049 Madrid, Spain.","Autonomous University of Madrid (UAM)"
"Univ Autonoma Madrid, Fac Ciencias, Dept Biol Zool, E-28049 Madrid, Spain;","Autonomous University of Madrid (UAM) - Department of Biological Zoology"
"Univ Autonoma Madrid, Dept Biol, E-28049 Madrid, Spain","Autonomous University of Madrid (UAM) - Department of Biology"
"Univ Autonoma Madrid, Dept Biol, Fac Sci, C Darwin 2, E-28049 Madrid, Spain","Autonomous University of Madrid (UAM) - Department of Biology - Charles Darwin 2"
"Univ Autonoma Nuevo Leon","Autonomous University of Nuevo León"
"Univ Autonoma Nuevo Leon, Fac Ciencias Biol, San Nicolas De Los Garza 66451, Nuevo Leon, Mexico;","Autonomous University of Nuevo León - Faculty of Biological Sciences"
"Univ Autonoma Nuevo Leon, Fac Ciencias Biol, Lab Biosistemat, San Nicolas De Los Garza, Nuevo Leon, Mexico;","Autonomous University of Nuevo León - Faculty of Biological Sciences - Lab Biosistemat"
"Univ Autonoma Sinaloa, Fac Ciencias Mar, Paseo Claussen S-N, Mazatlan 82000, Sinaloa, Mexico.","Autonomous University of Sinaloa - Faculty of Marine Sciences"
"Univ Autonoma Tamaulipas, Fac Med Vet & Zootecnia, Km 5 Carretera Victoria Mante, Tamaulipas 87274, Mexico.","Autonomous University of Tamaulipas"
"Avignon Univ","Avignon University"
"Axiom Data Science","Axiom Data Science"
"AZTI Tecnalia, Div Marine Res, Sukarrieta, Bizkaia, Spain.","AZTI Tecnalia"
"AZTI Tecnalia, Div Marine Res,Portualdea Zg 20110, Pasaia, Spain.","AZTI Tecnalia"
"Bahamas Marine Mammal Res Org, Marsh Harbour, Abaco, Bahamas.","Bahamas Marine Mammal Research Organization"
"Bahrain Inst Pearls & Gemstones DANAT, WTC East Tower, Manama, Bahrain.","Bahrain Institute for Pearls & Gemstones (DANAT)"
"Bakri Navigation Company Limited","Bakri Navigation Company Limited"
"Bangor Univ","Bangor University"
"Bangor University","Bangor University"
"Bangor Univ, Coll Nat Sci, Sch Ocean Sci, Askew St, Menai Bridge LL59 5AB, Anglesey, Wales","Bangor University - School of Ocean Sciences"
"Bangor Univ, Coll Nat Sci, Sch Ocean Sci, Menai Bridge LL59 5AB, Gwynedd, Wales.","Bangor University - School of Ocean Sciences"
"Bangor Univ, Sch Ocean Sci, Menai Bridge LL59 5AB, Anglesey, Wales;","Bangor University - School of Ocean Sciences"
"Bangor University, School of Ocean Sciences","Bangor University - School of Ocean Sciences"
"Bar Ilan Univ","Bar-Ilan University"
"Bar Ilan Univ, Mina & Everard Goodman Fac Life Sci, IL-52900 Ramat Gan, Israel;","Bar-Ilan University - Mina & Everard Goodman Faculty of Life Sciences"
"BarrowsCo","BarrowsCo"
"BASF","BASF"
"BASF SE","BASF"
"Battelle","Battelle Memorial Institute"
"Bavarian Nat Hist Collect, IT Ctr, Munich, Germany.","Bavarian Natural History Collections (SNSB)"
"Bavarian Nat Hist Collect","Bavarian Natural History Collections (Staatliche Naturwissenschaftliche Sammlungen Bayerns, SNSB)"
"Staatliche Naturwissenschaftliche Sammlungen Bayerns","Bavarian Natural History Collections (Staatliche Naturwissenschaftliche Sammlungen Bayerns, SNSB)"
"Beijing Genomics Institute (BGI)","Beijing Genomics Institute (BGI)"
"Beijing Genomics Institute (BGI), Shenzhen","Beijing Genomics Institute (BGI)"
"BGI Shenzhen, BGI Res, Shenzhen 518083, Peoples R China.","Beijing Genomics Institute (BGI)"
"Belgian Biodiversity Platform","Belgian Biodiversity Platform (BBPf)"
"Belgian Biodiversity Platform (BBPf)","Belgian Biodiversity Platform (BBPf)"
"Belgian Biodiversity Platform (Biodiversity.be)","Belgian Biodiversity Platform (BBPf)"
"Benthic Solutions Limited","Benthic Solutions Limited"
"Berhampur Univ","Berhampur University"
"Berhampur Univ, PG Dept Marine Sci, Berhampur 760007, Orissa, India;","Berhampur University - Department of Marine Science "
"Government Department of Conservation Services","Bermuda government - Department of Conservation Services"
"Bermuda Natural History Museum","Bermuda Natural History Museum"
"Museo Argentino Ciencias Nat Bernardino Rivadavia, Av Angel Gallardo 470 3 Piso Lab 80,C1405DJR, Buenos Aires, DF, Argentina","Bernardino Rivadavia Museum of Natural Science"
"Museo Argentino Ciencias Nat Bernardino Rivadavia, Av Angel Gallardo 470,C1405DJR, Buenos Aires, DF, Argentina;","Bernardino Rivadavia Museum of Natural Science"
"Beyond Wild Imaging","Beyond Wild Imaging"
"Bharathiar Univ","Bharathiar University"
"Bharathiar Univ, Sch Life Sci, Div Entomol, Dept Zool, Coimbatore 641046, Tamil Nadu, India;","Bharathiar University - School of Life Science - Department of Zoology - Entomology Division"
"Bharathidasan Univ, Dept Marine Sci, Tiruchirappalli 620024, Tamil Nadu, India.","Bharathidasan University"
"BHP","BHP"
"Bielefeld Univ, Fac Technol, Biodata Min Grp, Bielefeld, Germany.","Bielefeld University"
"Bielefeld University","Bielefeld University"
"Bigelow Lab Ocean Sci","Bigelow Laboratory for Ocean Sciences"
"Bigelow Lab Ocean Sci, East Boothbay, ME 04544 USA;","Bigelow Laboratory for Ocean Sciences"
"Bigelow Lab Ocean Sci, POB 475, W Boothbay Harbor, ME 04575 USA.","Bigelow Laboratory for Ocean Sciences"
"BioConsult Schuchardt & Scholle GbR ","BioConsult Schuchardt & Scholle GbR "
"Biodes Labs Soluc Integrales SCRL","Biodes Laboratorios Soluciones Integrales SCRL"
"Biodes Labs Soluc Integrales SCRL, Tumbes, Peru;","Biodes Laboratorios Soluciones Integrales SCRL"
"Biologica Environmental Services Ltd., Victoria","Biologica Environmental Services Ltd."
"Biologic Environmental","Biologic Environmental"
"Biotope","Biotope"
"Biotope, 22 Bd Marechal Foch,BP58, F-34140 Meze, France;","Biotope"
"Biotope environment ","Biotope environment "
"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow, Uttar Pradesh, India.","Birbal Sahni Institute of Palaeosciences"
"BirdLife Int","BirdLife International"
"BirdLife Int, David Attenborough Bldg,Pembroke St, Cambridge CB2 3QZ, England.","BirdLife International"
"BirdLife Int, Wellbrook Court, Cambridge CB3 0NA, England.","BirdLife International"
"BirdLife International","BirdLife International"
"Birkbeck Univ London, Malet St, London WC1E 7HX, England.","Birkbeck, University of London"
"Bernice P Bishop Museum, 1525 Bernice St, Honolulu, HI 96817 USA.","Bishop Museum"
"Bernice P Bishop Museum, Dept Nat Sci, Honolulu, HI USA.","Bishop Museum"
"Bishop Museum","Bishop Museum"
"Bitonga Ltd.","Bitonga Ltd."
"Black & Veatch","Black & Veatch"
"Bloom Association","Bloom Association"
"Blue Lobster Software Development & Graphic Design","Blue Lobster Software Development & Graphic Design"
