raw_institute,raw_source,stand_institute
Ecospan Environmental Limited,1-marinespecies.org_users_2023-11-07,Ecospan Environmental Limited
"National Academy of Sciences of Ukraine, Institute of Biology of the Southern Seas (IBSS)",1-marinespecies.org_users_2023-11-07,National Academy of Sciences of Ukraine (NASU) - AO Kovalevsky Institute of Biology of the Southern Seas (IBSS)
"School of Computer Science, University of Manchester",1-marinespecies.org_users_2023-11-07,University of Manchester - School of Computer Science
,1-marinespecies.org_users_2023-11-07,
"Institut de Recherche pour le Développement (IRD), Centre de Recherche Halieutique Méditerranéenne et Tropicale",1-marinespecies.org_users_2023-11-07,IRD L'Institut de recherche pour le développement - Centre de Recherche Halieutique Méditerranéenne et Tropicale
"Circolo Attività Subacquee Chieri, Sezione Didattica",1-marinespecies.org_users_2023-11-07,Chieri Underwater Activities Club
Station Biologique de Roscoff,1-marinespecies.org_users_2023-11-07,Station Biologique de Roscoff
,1-marinespecies.org_users_2023-11-07,
MariLim Gesellschaft für Gewässeruntersuchung mbH,1-marinespecies.org_users_2023-11-07,MariLim GmbH
NOAA,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic And Atmospheric Administration
"Natural History Museum Rotterdam, Marine Invertebrates",1-marinespecies.org_users_2023-11-07,Natural History Museum Rotterdam (NMR) - Marine Invertebrates
"European Environment Agency, EUNIS",1-marinespecies.org_users_2023-11-07,EU - European Environmental Agency - EUNIS (European Nature Information System)
"HELCOM, Helsinki",1-marinespecies.org_users_2023-11-07,HELCOM (Helsinki Convention on the Protection of the Marine Environment of the Baltic Sea Area)
Fisheries Linked Open Data at the Fisheries and Aquaculture Department of FAO,1-marinespecies.org_users_2023-11-07,FAO (Food and Agriculture Organization of the United Nations) - Fisheries and Aquaculture Department - Fisheries Linked Open Data (FLOD)
Gardline Marine Sciences group,1-marinespecies.org_users_2023-11-07,Gardline Group - Marine Sciences group
International Institute for Species Exploration,1-marinespecies.org_users_2023-11-07,International Institute for Species Exploration
University of British Columbia,1-marinespecies.org_users_2023-11-07,University of British Columbia
Institut National de Recherche Halieutique (INRH),1-marinespecies.org_users_2023-11-07,Institut National de Recherche Halieutique (INRH)
Government Department of Conservation Services,1-marinespecies.org_users_2023-11-07,Bermuda government - Department of Conservation Services
Natural History Museum of Los Angeles County,1-marinespecies.org_users_2023-11-07,NHM Natural History Museum of Los Angeles County
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Archaeology and Natural History, The Australian National University",1-marinespecies.org_users_2023-11-07,Australian National University - Archaeology and Natural History
Natural History Museum (NHM),1-marinespecies.org_users_2023-11-07,NHM (Natural History Museum)
,1-marinespecies.org_users_2023-11-07,
"Department of Marine Sciences, University of the Aegean",1-marinespecies.org_users_2023-11-07,University of the Aegean - Department of Marine Sciences
University of Sheffield,1-marinespecies.org_users_2023-11-07,University of Sheffield
Smithsonian Institution,1-marinespecies.org_users_2023-11-07,Smithsonian Institution
,1-marinespecies.org_users_2023-11-07,
"Maurice Lamontagne Institute, Fisheries and Oceans",1-marinespecies.org_users_2023-11-07,Government of Canada - Fisheries and Oceans Canada - Maurice Lamontagne Institute
Natura Esperire/Experience Annalisa Tassini,1-marinespecies.org_users_2023-11-07,Natura Esperire/Experience Annalisa Tassini
"Marine Research Lab, Zoological Institute RAS",1-marinespecies.org_users_2023-11-07,"Russian Academy of Sciences (RAS) - Zoological Institute, Marine Research Lab"
Southeast Missouri State University,1-marinespecies.org_users_2023-11-07,Southeast Missouri State University
IMARES Wageningen UR,1-marinespecies.org_users_2023-11-07,IMARES - Wageningen Marine Research (WUR)
Conchology Inc.,1-marinespecies.org_users_2023-11-07,Conchology Inc.
Cardiff University,1-marinespecies.org_users_2023-11-07,Cardiff University
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Ifremer, Laboratoire des sciences de l’Environnement MARin (LEMAR)",1-marinespecies.org_users_2023-11-07,IFREMER Institut Français de Recherche pour l'Exploitation de la Mer - Laboratoire des sciences de l’Environnement MARin (LEMAR)
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Washington State Department of Ecology,1-marinespecies.org_users_2023-11-07,Washington State Department of Ecology
Utrecht,1-marinespecies.org_users_2023-11-07,
Alfred Wegener Institute,1-marinespecies.org_users_2023-11-07,Alfred Wegener Institute for Polar and Marine Research (AWI)
University of Strathclyde  Dept. Mathematics and Statistics,1-marinespecies.org_users_2023-11-07,University of Sheffield - Department of Animal & Plant Sciences
Wilhelmshaven,1-marinespecies.org_users_2023-11-07,Wilhelmshaven
University of Baghdad,1-marinespecies.org_users_2023-11-07,University of Baghdad
,1-marinespecies.org_users_2023-11-07,
Bielefeld University,1-marinespecies.org_users_2023-11-07,Bielefeld University
,1-marinespecies.org_users_2023-11-07,
Florida Atlantic University,1-marinespecies.org_users_2023-11-07,Florida Atlantic University
,1-marinespecies.org_users_2023-11-07,
University College London,1-marinespecies.org_users_2023-11-07,University College London
,1-marinespecies.org_users_2023-11-07,
MNHN,1-marinespecies.org_users_2023-11-07,MNHN National Museum of Natural History
CREOCEAN,1-marinespecies.org_users_2023-11-07,
"Stazione Zoologica ""Anton Dohrn""",1-marinespecies.org_users_2023-11-07,Stazione Zoologica Anton Dohrn Napoli (SZN)
Akvaplan-niva,1-marinespecies.org_users_2023-11-07,Akvaplan Niva
ICES,1-marinespecies.org_users_2023-11-07,ICES International Council for the Exploration of the Sea
University of Lille,1-marinespecies.org_users_2023-11-07,University of Lille
IFM-GEOMAR,1-marinespecies.org_users_2023-11-07,GEOMAR Helmholtz Centre for Ocean Research Kiel
Systematik und Evolution der Tiere Freie Universität Berlin,1-marinespecies.org_users_2023-11-07,Free University of Berlin - Systematics and evolution of animals
CSIRO,1-marinespecies.org_users_2023-11-07,CSIRO (Commonwealth Scientific and Industrial Research Organisation)
UCSD,1-marinespecies.org_users_2023-11-07,"University of California, San Diego (UCSD)"
RIKZ,1-marinespecies.org_users_2023-11-07,RIKZ (Rijksinstituut voor Kust en Zee)
MBA,1-marinespecies.org_users_2023-11-07,MBA (Marine Biological Association)
University of Aegean,1-marinespecies.org_users_2023-11-07,University of the Aegean
IFREMER,1-marinespecies.org_users_2023-11-07,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers)
Laboratoire d’Océanographie Biologique de Banyuls sur Mer,1-marinespecies.org_users_2023-11-07,Sorbonne Université - LOBB Laboratoire d’Océanographie Biologique de Banyuls sur Mer
Station Biologique de Roscoff,1-marinespecies.org_users_2023-11-07,Station Biologique de Roscoff
Marine Barcode of Life (MarBOL),1-marinespecies.org_users_2023-11-07,Marine Barcode of Life (MarBOL)
IFREMER,1-marinespecies.org_users_2023-11-07,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers)
"Department of Marine Ecology, National Environmental Institute, University of Aarhus",1-marinespecies.org_users_2023-11-07,Aarhus University - Department of Marine Ecology - National Environmental Research Institute
HCMR,1-marinespecies.org_users_2023-11-07,HCMR (Hellenic Centre for Marine Research)
"University of British Columbia, Fisheries Centre",1-marinespecies.org_users_2023-11-07,University of British Columbia - Fisheries Centre
Saatchi & Saatchi,1-marinespecies.org_users_2023-11-07,Saatchi & Saatchi
Universidade da Coruña,1-marinespecies.org_users_2023-11-07,University of A Coruña
University College London; Department of Geography,1-marinespecies.org_users_2023-11-07,University College London -  Department of Geography
Finding Sanctuary Partnership,1-marinespecies.org_users_2023-11-07,
Unicomarine Ltd.,1-marinespecies.org_users_2023-11-07,Unicomarine Ltd.
"BGBM, Berlin",1-marinespecies.org_users_2023-11-07,Botanical Garden and Botanical Museum (BGBM)
GBIF,1-marinespecies.org_users_2023-11-07,GBIF Global Biodiversity Information Facility
,1-marinespecies.org_users_2023-11-07,
Normandy Coastal Monitoring Survey,1-marinespecies.org_users_2023-11-07,Normandy Coastal Monitoring Survey
MUMM,1-marinespecies.org_users_2023-11-07,RBINS Royal Belgian Institute of Natural Sciences (RBINS) - MUMM team (Management Unit of the Mathematical Model of the North Sea)
MyDiveAlbum,1-marinespecies.org_users_2023-11-07,MyDiveAlbum
Society Groupement d’Intérêt Public Seine Aval,1-marinespecies.org_users_2023-11-07,Society Group of Public Interest Seine Aval
University of California San Diego,1-marinespecies.org_users_2023-11-07,"University of California, San Diego (UCSD)"
Station marine de Wimereux,1-marinespecies.org_users_2023-11-07,University of Lille - Station marine de Wimereux
University of Messina,1-marinespecies.org_users_2023-11-07,University of Messina
Ocean Genome Legacy,1-marinespecies.org_users_2023-11-07,Ocean Genome Legacy Center (OGL)
GBIF Swiss Node,1-marinespecies.org_users_2023-11-07,GBIF Swiss Node
L'Institut de recherche pour le développement (IRD),1-marinespecies.org_users_2023-11-07,IRD L'Institut de recherche pour le développement
AIMS,1-marinespecies.org_users_2023-11-07,AIMS (Australian Institute of Marine Science)
Environment BOKU - University of Natural Resources & Applied Life Sciences,1-marinespecies.org_users_2023-11-07,BOKU University of Natural Resources and Life Sciences
Australian Antarctic Division,1-marinespecies.org_users_2023-11-07,Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD)
MNHN,1-marinespecies.org_users_2023-11-07,MNHN National Museum of Natural History
GBIF,1-marinespecies.org_users_2023-11-07,GBIF Global Biodiversity Information Facility
King Abdullah University of Science and Technology,1-marinespecies.org_users_2023-11-07,King Abdullah University of Science and Technology
CSIRO Marine and Atmospheric Research,1-marinespecies.org_users_2023-11-07,CSIRO - Marine and Atmospheric Research
Trinity College Dublin,1-marinespecies.org_users_2023-11-07,Trinity College Dublin
Instituto Mediterraneo de Estudios Avanzados (IMEDEA),1-marinespecies.org_users_2023-11-07,Mediterranean Institute for Advanced Studies (IMEDEA)
Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,1-marinespecies.org_users_2023-11-07,Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt
University of Alabama at Birmingham,1-marinespecies.org_users_2023-11-07,University of Alabama at Birmingham
IFREMER - Centre de nantes Département EMH,1-marinespecies.org_users_2023-11-07,IFREMER Institut Français de Recherche pour l'Exploitation de la Mer - Centre de nantes Département EMH
Marine Ecological Solutions Ltd,1-marinespecies.org_users_2023-11-07,Marine Ecological Solutions Ltd
"Institute for Polar Ecology, University of Kiel",1-marinespecies.org_users_2023-11-07,University of Kiel - Institute for Polar Ecology
Federal Environmental Agency,1-marinespecies.org_users_2023-11-07,Federal Environmental Agency
Central Marine Fisheries Research Institute,1-marinespecies.org_users_2023-11-07,ICAR (International Committee for Animal Recording) - Central Marine Fisheries Research Institute
Dipartimento di Scienze per l'Ambiente; Università Parthenope,1-marinespecies.org_users_2023-11-07,University of Parthenope - Dipartimento di Scienze per l'Ambiente; 
Réserves Naturelles de France,1-marinespecies.org_users_2023-11-07,Réserves Naturelles de France
"School of Computer Science, University of Manchester, and National Centre for Text Mining (NaCTeM), Manchester Interdisciplinary Biocentre",1-marinespecies.org_users_2023-11-07,
Bundesamt für Seeschifffahrt und Hydrographie (BSH),1-marinespecies.org_users_2023-11-07,BSH (Federal Maritime and Hydrographic Agency of Germany)
Wikipedia,1-marinespecies.org_users_2023-11-07,Wikipedia
Wikipedia,1-marinespecies.org_users_2023-11-07,Wikipedia
Circolo attività Subacquee Chieri,1-marinespecies.org_users_2023-11-07,Chieri Underwater Activities Club
Florida Fish and Wildlife Conservation Commission,1-marinespecies.org_users_2023-11-07,Florida Fish and Wildlife Conservation Commission
Plymouth Marine Laboratory,1-marinespecies.org_users_2023-11-07,PML (Plymouth Marine Laboratory)
National Oceanic and Atmospheric Administration (NOAA); Marine Ecosystems Division,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic and Atmospheric Administration - Marine Ecosystems Division
"National Museum of Natural History, Smithsonian Institution",1-marinespecies.org_users_2023-11-07,Smithsonian Institution - Smithsonian National Museum of Natural History
"IRENAV, BCRM Brest, Ecole navale et groupe des écoles du Poulmic",1-marinespecies.org_users_2023-11-07,IRENav French Naval Academy Research Institute
"Centre for Marine Living Resources & Ecology. Ministry of Earth Sciences, Govt. of India",1-marinespecies.org_users_2023-11-07,India government - Ministry of Earth Sciences - Centre for Marine Living Resources & Ecology (CMLRE)
"Centre for Marine and Environmental Studies (CESAM) & Department of Biology, University of Aveiro",1-marinespecies.org_users_2023-11-07,University of Aveiro - Department of Biology - Centre for Marine and Environmental Studies (CESAM)  
"IFREMER–DYNECO/VIGIES, Nantes",1-marinespecies.org_users_2023-11-07,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers)
,1-marinespecies.org_users_2023-11-07,
Musée cantonal de zoologie,1-marinespecies.org_users_2023-11-07,Musée cantonal de zoologie Lausanne
Musée cantonal de zoologie,1-marinespecies.org_users_2023-11-07,Musée cantonal de zoologie Lausanne
Diveboard.com,1-marinespecies.org_users_2023-11-07,Diveboard
Dalhousie University,1-marinespecies.org_users_2023-11-07,Dalhousie University
"National Environmental Research Institute, Aarhus University, Dept. of Marine Ecology",1-marinespecies.org_users_2023-11-07,Aarhus University - Department of Marine Ecology - National Environmental Research Institute
"Department of Zoology, Trinity College Dublin",1-marinespecies.org_users_2023-11-07,Trinity College Dublin - Department of Zoology
"Leigh Marine Laboratory, University of Auckland",1-marinespecies.org_users_2023-11-07,University of Auckland - Leigh Marine Laboratory
Juan J. González,1-marinespecies.org_users_2023-11-07,
"Academia Sinica, Biodiversity Research Center",1-marinespecies.org_users_2023-11-07,Academia Sinica - Biodiversity Research Centre
Divenation.com,1-marinespecies.org_users_2023-11-07,Divenation
Institute for Marine Resources and Ecosystem Studies (IMARES),1-marinespecies.org_users_2023-11-07,IMARES (Institute for Marine Resources and Ecosystem Studies)
"Marine Scotland Science, Marine Laboratory",1-marinespecies.org_users_2023-11-07,Marine Scotland - Marine Laboratory
"Bangor University, School of Ocean Sciences",1-marinespecies.org_users_2023-11-07,Bangor University - School of Ocean Sciences
"Environment Department, University of York",1-marinespecies.org_users_2023-11-07,University of York - Environment Department
"US Environmental Protection Agency (US EPA), Coastal Ecology Branch",1-marinespecies.org_users_2023-11-07,"US Environmental Protection Agency (US EPA), Coastal Ecology Branch"
"USGS Western Fisheries Research Center, Marine Hatfield Science Center",1-marinespecies.org_users_2023-11-07,US Geological Survey (USGS) - Western Fisheries Research Center
Wikipedia NL,1-marinespecies.org_users_2023-11-07,Wikipedia
Museum and Art Gallery of the Northern Territory,1-marinespecies.org_users_2023-11-07,MAGNT (Museum and Art Gallery of the Northern Territory)
"Instituto de Tecnología y Ciencias Marinas, Universidad Simón Bolívar",1-marinespecies.org_users_2023-11-07,Simón Bolívar University - Institute of Technology and Marine Sciences
Spanish National Cancer Research Centre,1-marinespecies.org_users_2023-11-07,CNIO (Spanish National Cancer Research Center)
Mathias Lindner,1-marinespecies.org_users_2023-11-07,personal
"University of Sheffield, Department of Animal & Plant Sciences",1-marinespecies.org_users_2023-11-07,University of Sheffield - Department of Animal & Plant Sciences
"University of Essex, School of Computer Science and Electronic Engineering",1-marinespecies.org_users_2023-11-07,University of Essex - School of Computer Science and Electronic Engineering
OAG - Observatorio Ambiental Granadilla,1-marinespecies.org_users_2023-11-07,Observatorio Ambiental Granadilla (OAG)
"Centro de Investigaciones Marinas, Universidad de La Habana",1-marinespecies.org_users_2023-11-07,Universidad de La Habana - Centro de Investigaciones Marinas
National Museums Northern Ireland,1-marinespecies.org_users_2023-11-07,National Museums Northern Ireland
National Institute for Environmental Research and Protection (ISPRA),1-marinespecies.org_users_2023-11-07,National Institute for Environmental Research and Protection (ISPRA)
"Biodiversity Institute of Ontario, University of Guelph",1-marinespecies.org_users_2023-11-07,University of Guelph - Biodiversity Institute of Ontario
"Center for Macroecology, Evolution and Climate, Department of Biology, Copenhagen University",1-marinespecies.org_users_2023-11-07,"University of Copenhagen - Department of Biology - Center for Macroecology, Evolution and Climate"
"CORPI, Klaipeda University",1-marinespecies.org_users_2023-11-07,Klaipeda University - Coastal Research and Planning Institute (CORPI)
Bitonga Ltd.,1-marinespecies.org_users_2023-11-07,Bitonga Ltd.
"Petrobras, Rio de Janeiro",1-marinespecies.org_users_2023-11-07,Petrobras
"Department of Zoology, Tel Aviv University, Tel Aviv",1-marinespecies.org_users_2023-11-07,Tel Aviv University - Department of Zoology
"CRM Coastal Research & Management, Kiel",1-marinespecies.org_users_2023-11-07,CRM Coastal Research & Management
"CREOCEAN Society, Montpellier",1-marinespecies.org_users_2023-11-07,CREOCEAN
"POMC Consulting (One World Analytics), Lancaster",1-marinespecies.org_users_2023-11-07,"POMC Consulting (One World Analytics), Lancaster"
"Dep. Earth Sciences, Natural History Museum (NHM), London",1-marinespecies.org_users_2023-11-07,NHM (Natural History Museum) - Earth Sciences Department 
"Centre for Environment, Fisheries & Aquaculture Science (CEFAS), Lowestoft",1-marinespecies.org_users_2023-11-07,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Queen's University Marine Laboratory (QML), Belfast",1-marinespecies.org_users_2023-11-07,Queen's University - Marine Laboratory (QML)
"OceanCertain - Norwegian University of Science and Technology (NTNU), Trondheim",1-marinespecies.org_users_2023-11-07,Norwegian University of Science and Technology (NTNU) - OceanCertain
"Université Pierre et Marie Curie, Laboratoire d'Océanographie, Villefranche",1-marinespecies.org_users_2023-11-07,UPMC - Laboratoire d'Océanographie de Villefranche (LOV)
"Marine Biodiversity Center, Natural History Museum, Los Angeles",1-marinespecies.org_users_2023-11-07,NHM Natural History Museum of Los Angeles County - Marine Biodiversity Center
"Korea Institute of Ocean Science and Technology, Ocean Observation and Information Section",1-marinespecies.org_users_2023-11-07,KIOST (Korea Institute of Ocean Science and Technology) - Ocean Observation and Information Section
K2 Sistemas,1-marinespecies.org_users_2023-11-07,K2 Sistemas
The Marine Biological Association- Data Archive Centre (DASSH),1-marinespecies.org_users_2023-11-07,Marine Biological Association (MBA) - Data Archive Centre (DASSH)
International Council for the Exploration of the Sea (ICES),1-marinespecies.org_users_2023-11-07,ICES International Council for the Exploration of the Sea
Filipe Medina de Sousa,1-marinespecies.org_users_2023-11-07,personal
"University of California, Berkeley, Integrative Biology",1-marinespecies.org_users_2023-11-07,"University of California, Berkeley - Integrative Biology"
"ARC Centre of Excellence for Coral Reef Studies, University of Queensland, Brisbane",1-marinespecies.org_users_2023-11-07,University of Queensland - ARC Centre of Excellence for Coral Reef Studies
National Oceanic and Atmospheric Administration (NOAA); Center for Coastal Environmental Health and Biomolecular Research,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic and Atmospheric Administration - Center for Coastal Environmental Health and Biomolecular Research
Yale University,1-marinespecies.org_users_2023-11-07,Yale University
"Friedrich-Alexander-Universität, Erlangen",1-marinespecies.org_users_2023-11-07,University of Erlangen-Nuremberg
"National Institute of Water and Atmospheric Research (NIWA), Wellington",1-marinespecies.org_users_2023-11-07,National Institute of Water and Atmospheric Research (NIWA)
"Biologica Environmental Services Ltd., Victoria",1-marinespecies.org_users_2023-11-07,Biologica Environmental Services Ltd.
"SAM-marin, Uni Research, Bergen",1-marinespecies.org_users_2023-11-07,Uni Research - SAM-marin (Section for applied marine environmental studies)
Personal,1-marinespecies.org_users_2023-11-07,personal
"Global Genome Initiative, Smithsonian Institution",1-marinespecies.org_users_2023-11-07,Smithsonian Institution - Smithsonian National Museum of Natural History - Global Genome Initiative (GGI)
Marine Ecological Surveys Ltd,1-marinespecies.org_users_2023-11-07,Marine Ecological Surveys Ltd
"Molecular, Ecology, Evolution and Phylogenetics research group, University of Sydney",1-marinespecies.org_users_2023-11-07,"University of Sydney - Molecular, Ecology, Evolution and Phylogenetics research group"
"LifeWatchGreece (LWG), Hellenic Centre for Marine Research (HCMR)",1-marinespecies.org_users_2023-11-07,HCMR (Hellenic Centre for Marine Research)
"Moss Landing Marine Laboratory, California State University",1-marinespecies.org_users_2023-11-07,California State University - Moss Landing Marine Laboratory
"The Nature Conservancy, Houston, Texas",1-marinespecies.org_users_2023-11-07,The Nature Conservancy
"Dept. of Civil and Environmental Engineering, Stanford University",1-marinespecies.org_users_2023-11-07,Stanford University - Department of Civil and Environmental Engineering
"New York State Museum, Albany",1-marinespecies.org_users_2023-11-07,New York State Museum
"Florida International University, Biscayne Bay Campus",1-marinespecies.org_users_2023-11-07,"Florida International University, Biscayne Bay Campus"
Joint Nature Conservation Committee (JNCC),1-marinespecies.org_users_2023-11-07,JNCC (Joint Nature Conservation Committee)
"Beijing Genomics Institute (BGI), Shenzhen",1-marinespecies.org_users_2023-11-07,Beijing Genomics Institute (BGI)
"Roger Williams University, Department of Biology and Marine Biology",1-marinespecies.org_users_2023-11-07,Roger Williams University - Department of Biology and Marine Biology
"Departamento de Biotecnologia Marina, Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE)",1-marinespecies.org_users_2023-11-07,Center for Scientific Research and Higher Education at Ensenada (CICESE) - Department of marine biotechnology
NETAXIA Limited,1-marinespecies.org_users_2023-11-07,NETAXIA Limited
Japan Agency for Marine-Earth Science and Technology (JAMSTEC),1-marinespecies.org_users_2023-11-07,
"Cape Cod Museum of Natural History, Brewster, MA",1-marinespecies.org_users_2023-11-07,Cape Cod Museum of Natural History
"Benthos Ecology, Marine Institute, Galway",1-marinespecies.org_users_2023-11-07,Marine Institute - Benthos Ecology Group
Dengun Lda.,1-marinespecies.org_users_2023-11-07,Dengun Digital Agency
Aniol S.L.,1-marinespecies.org_users_2023-11-07,Aniol S.L.
LazyDiving.com,1-marinespecies.org_users_2023-11-07,LazyDiving
"Centre for Development Co-operation in Fisheries (CDCF), Institute of Marine Research",1-marinespecies.org_users_2023-11-07,Institute of Marine Research (IMR) - Centre for Development Co-operation in Fisheries (CDCF)
"University of Washington, School of Aquatic and Fishery Sciences, Washington",1-marinespecies.org_users_2023-11-07,University of Washington - School of Aquatic and Fishery Sciences
,1-marinespecies.org_users_2023-11-07,
"Taxonomy Group, Genbank, National Center for Biotechnology Information, NIH",1-marinespecies.org_users_2023-11-07,National Center for Biotechnology Information (NCBI)
"Department of Energy and Process Engineering, Faculty of Engineering, NTNU, Trondheim",1-marinespecies.org_users_2023-11-07,Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme
"South African Institute for Aquatic Biodiversity, Grahamstown",1-marinespecies.org_users_2023-11-07,South African Institute for Aquatic Biodiversity (SAIAB)
"Quantitative Aquatics, Sto. Domingo",1-marinespecies.org_users_2023-11-07,"Quantitative Aquatics, Inc."
"Department of Paleobiology, National Museum of Natural History, Smithsonian Institution",1-marinespecies.org_users_2023-11-07,Smithsonian Institution - Smithsonian National Museum of Natural History - Department of Paleobiology
,1-marinespecies.org_users_2023-11-07,
"Ocean Networks Canada, University of Victoria",1-marinespecies.org_users_2023-11-07,University of Victoria - Ocean Networks Canada
Ocean Ecology,1-marinespecies.org_users_2023-11-07,Ocean Ecology
National Research Council of Italy (CNR),1-marinespecies.org_users_2023-11-07,National Research Council (CNR)
"Reef Life Apps, LLC",1-marinespecies.org_users_2023-11-07,"Reef Life Apps, LLC"
"Japan Agency for Marine-Earth Science and Technology, Global Oceanographic Data Cente",1-marinespecies.org_users_2023-11-07,JAMSTEC (Japan Agency for Marine-Earth Science and Technology) - Global Oceanographic Data Cente
Wageningen Marine Research (IMARES) Institute for Marine Resources & Ecosystem Studies,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Marine and Freshwater Institute Iceland,1-marinespecies.org_users_2023-11-07,Marine and Freshwater Institute Iceland (MFRI)
3T Software Labs GmbH,1-marinespecies.org_users_2023-11-07,3T Software Labs GmbH
University of New South Wales,1-marinespecies.org_users_2023-11-07,University of New South Wales
VIMAR (Vida Marina),1-marinespecies.org_users_2023-11-07,VIMAR (Vida Marina)
"Atlantic Reference Centre, Huntsman Marine Science Centre",1-marinespecies.org_users_2023-11-07,Huntsman Marine Science Centre - Atlantic Reference Centre (ARC)
CCMAR University of Algarve,1-marinespecies.org_users_2023-11-07,University of Algarve - Center of Marine Sciences (CCMAR)
CRACS - INESC TEC,1-marinespecies.org_users_2023-11-07,FCT (Portuguese National Science Foundation) - INESCTEC Research Laboratory - Center for Research in Advanced Computing Systems (CRACS)
NOAA OER,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic And Atmospheric Administration - OER Office of Ocean Exploration and Research
"Sorbonne Université - CNRS, Laboratoire d'Océanographie de Villefranche (LOV)",1-marinespecies.org_users_2023-11-07,UPMC - Laboratoire d'Océanographie de Villefranche (LOV)
National University of Ireland Galway,1-marinespecies.org_users_2023-11-07,National University of Ireland Galway
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Natural History Collections of Tyrolean State Museum Ferdinandeum,1-marinespecies.org_users_2023-11-07,Tyrolean State Museum Ferdinandeum - Natural History Collections
Diving Canary Islands,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Ensenada Center for Scientific Research and Higher Education, CICESE",1-marinespecies.org_users_2023-11-07,Center for Scientific Research and Higher Education at Ensenada (CICESE)
,1-marinespecies.org_users_2023-11-07,
University Hamburg; Zentrum für Bioinformatik,1-marinespecies.org_users_2023-11-07,University of Hamburg - Center for Bioinformatics
Fisheries Research Station junagadh agricultural university sikka ,1-marinespecies.org_users_2023-11-07,Junagadh agricultural university - Fisheries Research Station Sikka
Office de l'Environnement de la Corse,1-marinespecies.org_users_2023-11-07,Office de l'Environnement de la Corse
Beijing Genomics Institute (BGI),1-marinespecies.org_users_2023-11-07,Beijing Genomics Institute (BGI)
Northwest University,1-marinespecies.org_users_2023-11-07,Northwest University of China
